z_k_0,z_k_1,x_k_0,x_k_1
0.14,0.04,0.19,-0.04
-0.05,-0.13,0.16,-0.05
0.48,0.27,0.17,-0.03
0.36,-0.14,0.21,-0.05
0.00,-0.02,0.18,-0.04
0.19,-0.07,0.19,-0.04
0.16,-0.19,0.19,-0.06
0.02,0.03,0.17,-0.05
-0.14,-0.08,0.13,-0.04
0.27,-0.14,0.15,-0.05
-0.01,0.09,0.13,-0.04
0.42,0.12,0.17,-0.03
-0.22,-0.11,0.13,-0.03
0.44,-0.08,0.16,-0.03
-0.02,0.12,0.15,-0.01
0.10,0.04,0.15,-0.00
0.43,0.09,0.18,0.01
0.38,-0.10,0.20,-0.01
-0.23,0.09,0.16,0.00
0.48,-0.07,0.19,-0.00
0.18,0.06,0.19,0.01
0.27,0.06,0.20,0.02
0.32,-0.01,0.22,0.02
0.18,0.03,0.21,0.02
0.42,-0.04,0.24,0.01
0.36,-0.17,0.25,-0.02
0.34,-0.07,0.26,-0.02
0.15,0.10,0.26,-0.01
0.61,-0.13,0.31,-0.02
0.04,0.04,0.24,-0.01
0.58,-0.05,0.31,-0.02
0.12,0.16,0.29,0.01
0.56,-0.13,0.32,-0.01
0.41,0.06,0.34,-0.00
-0.05,-0.02,0.30,-0.00
0.28,-0.14,0.30,-0.02
0.44,-0.10,0.32,-0.03
0.29,0.16,0.31,-0.01
0.09,-0.07,0.29,-0.01
0.51,0.09,0.31,-0.01
0.30,-0.14,0.32,-0.02
-0.03,-0.11,0.27,-0.02
0.21,0.04,0.25,-0.01
0.09,-0.08,0.23,-0.01
0.17,-0.07,0.23,-0.02
-0.07,-0.05,0.18,-0.01
0.09,-0.08,0.17,-0.02
0.09,0.03,0.14,-0.01
-0.01,0.07,0.11,0.01
0.06,0.07,0.10,0.02
0.28,0.01,0.15,0.02
-0.01,0.04,0.10,0.03
0.10,0.03,0.10,0.03
-0.01,-0.04,0.07,0.01
0.40,0.12,0.11,0.03
0.12,-0.07,0.12,0.00
0.19,-0.10,0.13,-0.01
0.25,0.07,0.14,0.00
0.19,-0.05,0.15,-0.00
0.32,-0.04,0.18,-0.01
0.28,0.06,0.19,0.00
-0.01,-0.02,0.16,-0.00
0.35,-0.07,0.19,-0.01
-0.01,-0.11,0.17,-0.02
0.28,-0.05,0.19,-0.03
0.54,0.07,0.24,-0.02
0.20,0.04,0.23,-0.00
0.06,-0.11,0.21,-0.02
0.41,-0.17,0.23,-0.04
0.15,0.07,0.22,-0.03
0.10,-0.04,0.21,-0.03
0.06,0.04,0.19,-0.02
0.32,-0.08,0.21,-0.03
-0.00,-0.10,0.18,-0.04
-0.19,0.07,0.15,-0.03
0.41,-0.02,0.18,-0.03
0.17,-0.01,0.18,-0.02
0.02,-0.07,0.15,-0.03
0.22,-0.07,0.16,-0.04
0.64,-0.02,0.21,-0.03
0.12,0.22,0.21,-0.00
0.24,0.07,0.21,0.01
0.33,-0.20,0.22,-0.01
0.03,-0.07,0.19,-0.01
0.28,-0.04,0.21,-0.02
0.08,0.12,0.19,-0.00
0.26,-0.13,0.20,-0.01
0.23,-0.01,0.20,-0.01
0.27,0.09,0.22,-0.00
0.24,-0.07,0.22,-0.01
0.04,0.19,0.17,0.01
-0.08,0.12,0.12,0.02
0.02,0.19,0.12,0.04
0.25,-0.10,0.14,0.02
-0.04,0.06,0.10,0.01
0.02,0.06,0.09,0.02
0.25,0.01,0.12,0.02
-0.08,0.12,0.09,0.04
0.48,0.21,0.10,0.05
0.21,0.13,0.10,0.06
0.48,-0.07,0.13,0.04
0.29,-0.08,0.15,0.02
-0.04,-0.08,0.14,0.01
0.46,-0.10,0.18,-0.01
0.21,-0.11,0.19,-0.03
0.49,-0.08,0.22,-0.04
0.23,-0.05,0.22,-0.04
0.30,-0.02,0.23,-0.04
0.45,-0.19,0.28,-0.08
0.12,-0.08,0.26,-0.08
0.18,0.06,0.24,-0.03
0.37,-0.08,0.27,-0.04
0.38,0.15,0.28,-0.03
0.37,-0.07,0.30,-0.03
0.26,-0.11,0.29,-0.04
0.26,0.21,0.29,-0.03
0.12,-0.08,0.25,-0.03
0.10,-0.08,0.22,-0.03
0.09,-0.16,0.21,-0.04
-0.01,-0.01,0.17,-0.03
0.13,0.01,0.16,-0.02
0.23,0.22,0.16,0.00
0.19,-0.05,0.17,-0.00
0.11,-0.01,0.16,-0.00
-0.01,-0.08,0.11,-0.01
0.15,0.03,0.12,-0.01
0.20,-0.02,0.14,-0.01
0.49,0.24,0.17,0.01
0.40,-0.25,0.18,-0.01
0.06,-0.13,0.17,-0.02
0.17,-0.16,0.17,-0.03
-0.35,0.16,0.15,-0.03
0.41,0.07,0.17,-0.01
0.13,-0.08,0.16,-0.02
0.38,-0.16,0.17,-0.03
0.07,0.13,0.17,-0.02
0.33,0.28,0.19,0.01
0.35,-0.08,0.20,0.00
0.41,0.10,0.23,0.02
0.05,0.09,0.21,0.03
0.06,0.01,0.19,0.02
0.04,-0.05,0.17,0.00
0.33,-0.23,0.20,-0.03
0.09,0.01,0.18,-0.02
0.13,-0.02,0.17,-0.02
0.34,0.01,0.20,-0.02
0.23,0.10,0.21,0.00
0.03,-0.11,0.17,-0.03
0.21,0.01,0.18,-0.02
0.13,0.03,0.17,-0.01
0.41,-0.01,0.21,-0.01
0.39,0.07,0.24,0.01
0.31,0.21,0.25,0.03
0.31,0.07,0.26,0.04
0.08,0.04,0.23,0.05
0.48,-0.17,0.26,0.03
0.70,-0.07,0.29,0.02
0.23,0.13,0.29,0.04
0.20,0.01,0.27,0.03
0.29,-0.22,0.26,-0.00
-0.01,-0.25,0.24,-0.02
0.35,0.21,0.25,-0.00
0.30,-0.16,0.25,-0.01
0.14,0.04,0.24,-0.01
0.19,0.10,0.23,0.00
0.24,0.01,0.24,0.00
0.17,-0.08,0.23,-0.01
0.35,0.03,0.27,-0.01
0.17,0.28,0.23,0.02
0.36,0.01,0.26,0.02
0.08,-0.08,0.23,0.01
0.13,-0.02,0.20,0.00
0.24,-0.11,0.21,-0.02
0.41,-0.10,0.24,-0.02
0.01,0.07,0.21,-0.02
0.20,0.06,0.21,-0.00
0.27,0.16,0.23,0.03
0.01,0.15,0.20,0.04
0.06,-0.04,0.18,0.03
-0.20,0.03,0.14,0.00
0.20,-0.10,0.14,-0.02
0.31,0.12,0.16,0.01
0.26,-0.07,0.17,-0.00
0.39,-0.04,0.19,-0.01
0.10,-0.01,0.18,-0.01
0.14,-0.02,0.18,-0.01
0.26,-0.16,0.19,-0.03
0.45,-0.04,0.22,-0.03
0.41,-0.02,0.25,-0.03
-0.13,-0.16,0.22,-0.04
-0.08,0.09,0.17,-0.02
0.00,0.10,0.14,-0.00
0.38,-0.10,0.17,-0.02
0.22,-0.13,0.17,-0.03
0.15,0.12,0.17,-0.01
-0.04,0.01,0.14,-0.01
0.41,0.07,0.17,-0.00
0.22,-0.14,0.18,-0.02
0.41,-0.04,0.22,-0.03
0.11,0.25,0.20,0.00
0.00,-0.11,0.16,-0.01
-0.11,0.01,0.11,-0.01
0.46,-0.20,0.16,-0.03
0.12,-0.17,0.15,-0.04
0.28,0.09,0.17,-0.03
0.40,-0.05,0.20,-0.03
0.37,-0.04,0.23,-0.03
0.03,0.25,0.21,-0.00
0.07,0.04,0.18,-0.00
0.29,0.06,0.20,0.01
0.48,-0.14,0.24,-0.01
0.32,-0.05,0.25,-0.02
-0.00,0.10,0.20,-0.01
0.23,0.04,0.21,0.00
0.23,-0.14,0.20,-0.03
-0.02,-0.30,0.18,-0.06
0.14,0.01,0.17,-0.05
-0.19,-0.01,0.12,-0.03
0.40,-0.08,0.15,-0.05
0.11,-0.19,0.16,-0.07
0.11,-0.04,0.15,-0.06
0.20,0.15,0.14,-0.03
0.35,-0.16,0.18,-0.06
-0.11,-0.26,0.15,-0.07
0.10,0.21,0.13,-0.04
0.19,-0.02,0.14,-0.04
0.03,-0.02,0.12,-0.04
0.46,-0.22,0.16,-0.06
0.28,0.01,0.18,-0.05
0.45,0.03,0.22,-0.04
0.29,0.13,0.23,-0.02
0.08,-0.11,0.21,-0.03
0.30,-0.02,0.23,-0.03
0.30,-0.28,0.24,-0.07
0.17,-0.01,0.23,-0.06
0.37,0.03,0.26,-0.04
0.23,0.01,0.26,-0.03
0.45,0.07,0.32,-0.01
0.59,-0.10,0.37,-0.03
-0.04,-0.04,0.33,-0.03
0.05,0.09,0.30,-0.01
0.19,-0.14,0.29,-0.04
0.50,-0.16,0.31,-0.06
0.15,-0.13,0.29,-0.07
0.12,-0.13,0.27,-0.09
0.26,0.16,0.26,-0.04
0.02,-0.11,0.23,-0.05
0.28,-0.19,0.24,-0.07
0.13,0.10,0.23,-0.05
-0.03,0.15,0.15,-0.03
0.49,-0.07,0.21,-0.03
0.29,0.15,0.23,-0.01
0.01,-0.02,0.19,-0.01
0.28,-0.02,0.20,-0.01
0.23,-0.20,0.21,-0.04
0.15,-0.05,0.20,-0.04
0.30,-0.08,0.21,-0.04
0.26,-0.07,0.22,-0.05
0.02,-0.17,0.19,-0.07
0.19,0.04,0.19,-0.05
0.34,-0.01,0.21,-0.04
0.39,0.04,0.25,-0.04
0.29,-0.04,0.26,-0.04
0.46,0.06,0.30,-0.03
0.09,-0.10,0.27,-0.03
0.32,0.12,0.27,0.00
0.38,-0.08,0.29,-0.01
0.22,-0.08,0.28,-0.02
0.08,0.03,0.26,-0.02
0.14,-0.04,0.23,-0.03
0.40,-0.02,0.26,-0.02
0.25,-0.01,0.26,-0.02
0.08,-0.10,0.23,-0.03
0.23,0.12,0.24,-0.01
0.10,0.01,0.21,-0.01
0.44,0.01,0.26,0.00
0.54,0.04,0.29,0.01
-0.01,0.18,0.27,0.03
0.23,0.01,0.26,0.02
0.45,0.19,0.28,0.04
0.39,0.03,0.29,0.04
0.12,-0.13,0.28,0.02
0.16,-0.07,0.26,0.02
0.26,-0.02,0.26,0.01
0.02,0.07,0.23,0.02
0.28,0.01,0.24,0.02
0.20,-0.17,0.23,-0.01
0.17,-0.07,0.22,-0.02
0.04,-0.08,0.18,-0.02
0.53,-0.04,0.23,-0.03
0.25,-0.02,0.24,-0.03
0.10,-0.04,0.21,-0.03
0.30,0.06,0.23,-0.00
0.21,-0.31,0.22,-0.03
0.49,0.16,0.26,-0.02
-0.06,-0.02,0.21,-0.01
-0.14,-0.20,0.19,-0.03
0.20,-0.07,0.19,-0.03
0.24,0.06,0.19,-0.02
-0.19,-0.19,0.16,-0.03
0.21,0.04,0.16,-0.03
-0.12,-0.04,0.12,-0.02
0.27,-0.11,0.14,-0.03
0.29,0.15,0.16,-0.02
0.06,-0.08,0.15,-0.03
0.01,0.16,0.11,-0.00
0.54,0.03,0.16,0.00
0.10,-0.13,0.15,-0.02
0.36,0.09,0.18,-0.00
0.20,-0.28,0.18,-0.03
-0.04,-0.01,0.14,-0.04
0.33,0.01,0.17,-0.02
0.15,0.01,0.17,-0.02
0.12,-0.05,0.16,-0.03
0.37,0.01,0.20,-0.01
0.25,-0.11,0.20,-0.03
-0.03,-0.02,0.16,-0.03
0.11,-0.08,0.15,-0.04
0.59,-0.05,0.21,-0.04
0.42,0.13,0.24,-0.00
0.25,-0.02,0.24,-0.01
-0.17,-0.05,0.19,-0.02
0.34,-0.01,0.21,-0.02
0.17,-0.08,0.20,-0.04
0.31,-0.05,0.22,-0.04
0.05,-0.13,0.19,-0.06
0.29,-0.05,0.21,-0.06
0.06,0.04,0.19,-0.04
0.19,0.09,0.19,-0.03
0.38,-0.02,0.23,-0.03
0.16,0.21,0.21,-0.00
0.25,0.10,0.21,0.01
0.09,-0.01,0.17,0.00
0.22,-0.02,0.19,0.00
0.07,0.10,0.16,0.01
0.26,-0.01,0.19,0.01
-0.03,-0.04,0.14,-0.00
0.60,-0.14,0.18,-0.01
0.05,-0.16,0.16,-0.02
0.12,-0.02,0.16,-0.02
0.10,-0.04,0.15,-0.02
0.00,-0.13,0.12,-0.04
0.36,0.07,0.15,-0.03
0.35,0.15,0.17,-0.01
0.09,0.09,0.15,-0.00
0.13,-0.22,0.16,-0.02
0.10,0.06,0.15,-0.01
0.40,0.09,0.18,-0.01
0.10,-0.11,0.18,-0.02
0.31,-0.04,0.21,-0.02
-0.00,0.03,0.17,-0.01
0.07,-0.10,0.16,-0.02
0.32,-0.11,0.18,-0.03
0.40,-0.17,0.21,-0.04
0.37,0.30,0.23,-0.02
-0.08,0.04,0.19,-0.01
0.16,0.04,0.19,-0.01
0.16,-0.10,0.19,-0.02
0.36,-0.25,0.20,-0.04
0.22,0.15,0.21,-0.02
0.17,-0.07,0.21,-0.02
0.28,-0.07,0.22,-0.03
0.23,-0.07,0.22,-0.03
0.09,-0.01,0.19,-0.03
0.16,-0.04,0.19,-0.03
0.36,-0.16,0.21,-0.05
0.20,-0.07,0.20,-0.05
0.05,-0.10,0.17,-0.07
0.13,0.01,0.16,-0.05
0.10,0.13,0.15,-0.01
0.39,-0.05,0.18,-0.01
-0.23,-0.01,0.16,-0.02
0.17,-0.04,0.16,-0.03
0.29,0.03,0.17,-0.01
0.38,-0.01,0.18,-0.01
-0.09,0.16,0.16,0.01
0.35,-0.19,0.18,-0.01
0.16,0.10,0.18,0.00
0.33,-0.17,0.19,-0.02
0.32,-0.11,0.20,-0.03
0.06,-0.10,0.18,-0.04
-0.01,0.06,0.16,-0.03
0.19,-0.02,0.17,-0.03
-0.08,0.03,0.13,-0.02
0.29,-0.05,0.16,-0.02
0.22,-0.02,0.17,-0.02
0.25,0.01,0.18,-0.02
0.11,-0.20,0.18,-0.04
-0.14,-0.02,0.14,-0.04
0.20,0.06,0.14,-0.02
-0.03,0.03,0.11,-0.00
0.30,-0.02,0.13,-0.01
0.18,0.07,0.13,0.00
0.22,-0.02,0.15,-0.00
-0.04,-0.04,0.12,-0.00
0.10,0.06,0.11,0.01
0.17,0.27,0.10,0.05
-0.00,0.10,0.08,0.06
0.32,0.03,0.12,0.04
0.15,0.03,0.12,0.04
0.29,0.03,0.15,0.04
0.21,-0.08,0.16,0.02
0.25,0.06,0.18,0.02
0.11,-0.05,0.17,0.01
-0.06,-0.17,0.15,-0.00
0.17,0.13,0.14,0.01
0.24,0.16,0.15,0.02
0.51,-0.05,0.21,0.01
0.04,-0.04,0.18,0.01
0.03,0.04,0.14,0.02
0.36,-0.10,0.17,0.01
0.02,-0.05,0.15,0.00
0.40,0.01,0.18,0.00
0.11,-0.07,0.17,-0.01
0.18,-0.08,0.17,-0.01
-0.16,-0.14,0.13,-0.03
0.25,-0.07,0.15,-0.04
0.08,0.03,0.14,-0.02
0.57,-0.14,0.17,-0.05
0.33,-0.02,0.19,-0.04
0.13,-0.02,0.18,-0.04
0.09,0.28,0.17,-0.02
0.26,-0.25,0.18,-0.03
0.45,-0.11,0.22,-0.03
0.29,0.09,0.23,-0.02
0.34,0.07,0.25,-0.01
0.14,-0.04,0.22,-0.02
-0.14,-0.01,0.17,-0.03
-0.06,0.07,0.14,-0.02
0.45,-0.30,0.16,-0.04
0.12,0.03,0.16,-0.04
0.07,0.01,0.15,-0.03
0.36,-0.02,0.18,-0.03
-0.34,-0.08,0.14,-0.04
0.35,0.18,0.12,0.02
0.42,-0.11,0.15,-0.01
0.22,-0.04,0.16,-0.01
0.19,0.03,0.16,-0.01
0.18,-0.10,0.16,-0.02
0.02,-0.10,0.15,-0.03
0.03,-0.17,0.13,-0.05
0.10,-0.04,0.13,-0.05
0.40,0.15,0.15,-0.03
0.26,-0.11,0.18,-0.04
-0.30,0.13,0.11,-0.03
0.25,0.13,0.15,-0.00
0.20,0.22,0.17,0.02
0.15,-0.22,0.16,0.00
0.16,-0.10,0.16,-0.01
0.28,-0.01,0.18,-0.01
0.33,-0.10,0.20,-0.01
0.21,-0.10,0.20,-0.02
0.14,0.01,0.19,-0.02
0.17,-0.02,0.19,-0.02
0.39,-0.14,0.22,-0.03
0.57,-0.14,0.31,-0.04
0.06,0.18,0.27,-0.02
-0.03,0.06,0.22,-0.02
0.64,0.01,0.27,0.01
0.10,0.04,0.25,0.01
-0.08,-0.02,0.22,-0.01
0.11,0.16,0.21,0.02
0.09,-0.10,0.20,-0.00
0.01,-0.02,0.18,-0.01
0.20,0.10,0.18,0.01
-0.01,0.06,0.16,0.02
0.38,0.15,0.16,0.05
0.54,0.07,0.20,0.05
0.11,-0.13,0.22,0.02
0.28,-0.04,0.24,0.01
0.24,-0.05,0.25,-0.00
-0.21,0.10,0.18,0.01
0.28,-0.10,0.19,-0.00
0.26,-0.05,0.21,-0.01
0.02,0.07,0.18,0.00
0.27,-0.02,0.19,-0.00
0.18,0.03,0.19,0.00
0.26,-0.19,0.19,-0.03
0.27,0.03,0.23,-0.01
0.05,-0.01,0.18,-0.02
0.22,0.09,0.20,-0.00
0.22,-0.02,0.20,-0.00
-0.10,-0.04,0.13,-0.00
-0.00,-0.01,0.10,0.00
0.01,-0.08,0.09,-0.01
0.06,0.16,0.08,0.01
0.45,-0.16,0.13,-0.01
0.12,-0.04,0.13,-0.01
0.26,-0.02,0.15,-0.01
0.02,-0.02,0.13,-0.01
0.07,0.13,0.12,0.01
0.44,0.04,0.16,0.01
0.16,-0.08,0.16,-0.00
0.21,-0.13,0.17,-0.02
0.23,-0.04,0.18,-0.02
-0.12,-0.08,0.12,-0.03
0.08,0.13,0.12,-0.01
-0.12,-0.05,0.08,-0.01
0.29,0.01,0.11,-0.01
0.19,0.01,0.12,-0.01
0.21,-0.11,0.14,-0.03
0.36,0.09,0.17,-0.01
0.05,0.13,0.14,0.01
-0.06,-0.08,0.12,-0.00
0.53,-0.05,0.16,-0.01
0.18,-0.01,0.16,-0.01
0.09,0.04,0.15,-0.00
0.24,-0.13,0.17,-0.02
0.21,0.07,0.18,-0.01
-0.01,-0.07,0.15,-0.02
0.48,0.07,0.19,-0.01
-0.20,-0.01,0.15,-0.00
0.31,-0.02,0.17,-0.01
0.19,0.03,0.17,0.00
0.16,-0.04,0.17,-0.01
0.36,-0.02,0.20,-0.01
0.24,0.06,0.21,0.00
0.48,0.01,0.25,-0.00
-0.15,-0.08,0.20,-0.01
0.79,0.10,0.24,-0.00
0.18,0.01,0.24,0.00
0.27,-0.17,0.24,-0.01
-0.19,-0.08,0.19,-0.02
0.23,0.16,0.18,-0.01
0.43,-0.08,0.21,-0.01
0.11,0.03,0.20,-0.01
0.29,-0.02,0.21,-0.01
-0.08,-0.01,0.18,-0.01
0.31,0.12,0.20,0.00
0.17,-0.08,0.19,-0.01
0.08,0.10,0.18,0.00
0.20,0.03,0.19,0.01
0.13,-0.02,0.17,0.00
-0.10,0.06,0.11,0.00
0.26,-0.08,0.12,-0.01
0.47,0.09,0.18,0.00
0.38,-0.04,0.21,-0.00
0.23,0.04,0.21,0.00
0.34,-0.34,0.22,-0.01
0.49,-0.01,0.26,-0.01
0.43,0.03,0.29,-0.01
0.03,-0.02,0.25,-0.01
0.16,-0.14,0.24,-0.02
0.52,0.01,0.27,-0.02
0.63,-0.22,0.33,-0.04
0.17,-0.07,0.31,-0.04
-0.06,-0.08,0.26,-0.05
0.28,-0.05,0.27,-0.05
0.24,0.03,0.26,-0.04
0.19,-0.10,0.25,-0.05
0.06,0.01,0.23,-0.04
0.17,-0.10,0.22,-0.06
-0.33,0.01,0.16,-0.05
0.67,-0.16,0.20,-0.06
0.16,0.01,0.21,-0.05
0.18,0.01,0.21,-0.03
0.45,-0.05,0.24,-0.03
0.56,-0.07,0.28,-0.03
0.31,0.09,0.28,-0.02
0.33,0.03,0.29,-0.01
-0.00,-0.05,0.25,-0.02
0.54,-0.10,0.29,-0.03
0.23,-0.02,0.28,-0.03
0.21,-0.10,0.26,-0.04
0.26,-0.02,0.25,-0.03
0.21,-0.01,0.24,-0.03
0.08,0.10,0.20,-0.01
0.26,-0.19,0.22,-0.02
0.13,-0.14,0.19,-0.03
0.00,0.04,0.14,-0.02
0.25,-0.01,0.18,-0.02
0.28,0.03,0.21,-0.02
0.40,-0.04,0.25,-0.02
0.20,0.06,0.24,-0.01
0.67,0.13,0.26,-0.00
0.21,-0.13,0.27,-0.02
0.41,-0.10,0.28,-0.03
0.22,-0.05,0.28,-0.03
0.17,-0.04,0.27,-0.03
0.39,0.04,0.27,-0.02
-0.23,0.09,0.24,0.00
0.34,0.06,0.25,0.01
-0.08,0.09,0.23,0.02
0.38,0.09,0.24,0.03
0.50,-0.02,0.26,0.03
-0.11,-0.07,0.21,-0.00
0.42,-0.04,0.23,-0.01
0.41,0.15,0.24,0.02
0.38,-0.11,0.26,0.00
0.21,-0.17,0.25,-0.02
0.19,-0.22,0.24,-0.03
0.15,0.04,0.22,-0.02
0.56,0.12,0.26,-0.02
0.47,0.01,0.31,-0.02
0.11,-0.01,0.27,-0.01
0.22,0.01,0.26,-0.01
0.30,-0.04,0.28,-0.01
0.32,-0.02,0.29,-0.01
0.02,-0.02,0.24,-0.01
0.24,0.01,0.24,-0.01
0.17,-0.02,0.23,-0.01
-0.05,-0.10,0.19,-0.03
0.25,-0.13,0.20,-0.06
0.23,-0.04,0.21,-0.05
0.01,-0.05,0.17,-0.05
0.20,0.13,0.20,-0.00
0.30,0.04,0.22,0.01
0.10,0.03,0.20,0.01
0.12,0.01,0.18,0.01
0.31,0.07,0.20,0.02
-0.02,0.04,0.17,0.02
-0.04,0.07,0.14,0.02
0.58,0.16,0.18,0.03
-0.08,-0.17,0.17,0.01
0.08,-0.13,0.17,0.00
0.30,0.03,0.19,0.00
0.11,0.04,0.18,0.01
0.32,0.04,0.19,0.01
0.16,0.16,0.18,0.02
0.46,-0.05,0.21,0.02
0.26,-0.10,0.21,0.01
0.48,0.01,0.24,0.01
0.39,-0.02,0.27,0.01
-0.07,0.15,0.23,0.01
0.03,-0.05,0.18,-0.01
0.17,0.22,0.23,0.03
0.26,0.07,0.24,0.04
0.08,0.12,0.22,0.04
0.38,-0.11,0.23,0.03
0.35,0.25,0.26,0.05
0.39,0.03,0.28,0.05
0.03,-0.05,0.25,0.04
0.05,-0.10,0.22,0.03
0.41,0.03,0.25,0.02
0.35,-0.10,0.28,0.01
0.19,0.15,0.25,0.02
0.19,0.22,0.24,0.05
0.08,-0.01,0.21,0.04
0.33,-0.13,0.24,0.01
0.03,0.04,0.20,0.02
0.06,-0.02,0.18,0.01
0.19,0.12,0.18,0.03
0.18,-0.19,0.18,0.00
0.26,0.06,0.20,0.01
0.08,-0.02,0.16,0.00
0.12,0.01,0.15,0.01
0.50,0.06,0.19,0.01
0.07,0.06,0.18,0.03
0.34,-0.01,0.19,0.02
0.45,-0.02,0.22,0.01
0.13,-0.07,0.21,-0.01
0.65,-0.05,0.24,-0.01
0.24,0.09,0.25,0.01
0.16,0.12,0.25,0.04
0.21,0.12,0.25,0.06
0.03,0.24,0.24,0.08
