z_k_0,z_k_1,z_k_2,z_k_3,x_k_0,x_k_1,x_k_2,x_k_3
-1.97,48.82,-3.94,38.56,0.70,46.26,-1.25,42.30
-0.38,47.49,-4.59,49.79,0.27,46.85,-2.92,46.04
3.17,48.49,1.87,44.08,1.42,47.62,-0.52,45.06
-0.38,49.52,2.09,33.28,0.70,48.49,0.78,39.17
1.14,48.62,1.32,27.39,0.88,48.64,1.05,33.28
1.55,49.93,3.66,20.69,1.15,49.24,2.36,26.98
4.40,52.80,7.12,18.90,2.46,50.73,4.74,22.94
3.44,55.24,4.73,14.69,2.86,52.59,4.73,18.81
1.68,52.64,-6.54,12.34,2.40,52.65,-0.90,15.58
3.76,48.02,-6.97,8.20,2.94,50.84,-3.93,11.89
3.53,49.93,4.21,2.60,3.17,50.50,0.14,7.24
4.98,54.75,9.92,2.47,3.89,52.22,5.03,4.86
2.26,55.47,0.93,4.17,3.25,53.53,2.98,4.51
2.60,52.20,-5.94,5.42,3.00,53.01,-1.48,4.97
2.97,50.79,-3.29,2.06,2.98,52.13,-2.39,3.51
3.22,52.81,1.96,-2.87,3.07,52.41,-0.21,0.32
0.73,53.90,-2.98,-0.27,2.13,53.01,-1.60,0.02
1.58,51.35,-3.36,-0.12,1.91,52.34,-2.48,-0.05
1.88,50.60,2.18,0.43,1.89,51.64,-0.15,0.19
3.15,52.48,3.51,-0.35,2.39,51.98,1.68,-0.08
2.72,54.52,-0.43,-2.75,2.53,53.00,0.62,-1.41
3.39,52.44,-3.36,-3.10,2.87,52.77,-1.37,-2.26
2.17,51.64,-2.39,-3.80,2.59,52.31,-1.88,-3.03
3.76,50.97,-0.01,-11.40,3.05,51.77,-0.94,-7.22
3.98,53.64,0.44,-20.00,3.42,52.50,-0.25,-13.61
-0.43,52.36,-6.60,-24.90,1.88,52.41,-3.43,-19.25
2.67,48.49,-5.12,-25.28,2.19,50.80,-4.27,-22.27
1.05,47.48,1.11,-26.67,1.72,49.42,-1.58,-24.47
3.25,47.44,5.72,-41.77,2.33,48.57,2.07,-33.12
2.44,49.49,7.89,-59.45,2.38,48.86,4.98,-46.29
3.39,47.58,4.74,-83.18,2.79,48.24,4.86,-64.73
-0.04,45.00,4.59,-83.05,1.67,46.79,4.73,-73.89
1.48,40.76,12.24,-77.94,1.61,44.20,8.48,-75.92
5.14,37.91,22.79,-91.65,3.04,41.50,15.64,-83.78
2.55,41.08,21.12,-102.29,2.88,41.13,18.38,-93.04
1.12,40.48,13.58,-74.90,2.22,40.65,15.98,-83.97
4.34,32.63,11.22,-61.51,3.11,37.24,13.60,-72.74
3.74,30.31,10.76,-73.57,3.39,34.29,12.18,-73.16
5.55,31.86,13.46,-94.24,4.28,33.15,12.82,-83.70
5.48,32.56,17.46,-113.73,4.79,32.71,15.14,-98.71
2.73,27.76,6.21,-100.34,4.00,30.49,10.67,-99.52
5.44,24.38,-0.55,-85.30,4.60,27.81,5.06,-92.41
4.55,19.83,0.50,-77.48,4.59,24.39,2.78,-84.95
2.86,22.65,-2.39,-62.31,3.91,23.49,0.20,-73.63
2.45,17.64,-6.39,-64.44,3.32,20.97,-3.10,-69.03
1.80,20.49,-10.95,-56.89,2.71,20.61,-7.02,-62.96
1.57,23.06,-4.22,-60.03,2.23,21.44,-5.62,-61.50
1.72,11.70,-0.34,-140.58,2.01,17.39,-2.98,-101.04
3.68,10.87,7.61,-93.57,2.67,14.54,2.32,-97.31
1.91,11.66,3.32,-82.15,2.37,13.16,2.82,-89.73
2.33,7.38,-6.98,-64.38,2.36,10.63,-2.08,-77.06
0.92,8.04,-1.76,-33.85,1.78,9.41,-1.92,-55.45
4.83,7.69,9.37,-72.92,2.99,8.59,3.72,-64.18
3.78,4.12,9.41,-82.81,3.32,6.65,6.57,-73.50
4.30,-8.98,8.48,-108.23,3.72,0.22,7.53,-90.86
3.39,0.18,6.39,-44.41,3.61,-0.01,6.96,-67.64
3.40,-0.75,5.49,-42.58,3.54,-0.47,6.23,-55.11
3.89,-1.32,0.01,-32.81,3.69,-0.94,3.12,-43.96
4.51,-1.47,-1.81,-26.72,4.03,-1.26,0.66,-35.34
4.54,-4.50,-2.81,-26.78,4.23,-2.64,-1.08,-31.06
3.85,-4.00,-9.56,-12.20,4.08,-3.26,-5.32,-21.63
4.00,-5.26,-6.39,2.24,4.03,-4.11,-5.85,-9.69
4.28,-4.29,-12.54,3.50,4.12,-4.21,-9.20,-3.10
3.74,-2.42,-12.81,7.98,3.95,-3.50,-11.01,2.44
4.09,-3.30,-8.95,4.06,3.98,-3.41,-9.98,3.25
3.11,-3.56,-13.06,0.21,3.60,-3.46,-11.52,1.73
2.39,-3.70,-20.88,0.70,3.09,-3.56,-16.20,1.22
1.84,-3.94,-18.94,9.21,2.55,-3.71,-17.57,5.21
1.90,-3.00,-12.22,8.85,2.25,-3.41,-14.89,7.03
1.83,-1.33,-14.40,3.57,2.05,-2.56,-14.65,5.30
1.69,-2.13,-12.91,5.16,1.87,-2.38,-13.78,5.23
1.33,-3.56,-5.41,9.66,1.62,-2.84,-9.59,7.45
1.20,-3.66,-4.88,11.37,1.43,-3.15,-7.23,9.41
0.21,-1.63,-10.54,9.05,0.92,-2.52,-8.89,9.23
0.56,-2.14,-7.90,12.17,0.76,-2.35,-8.39,10.70
1.46,-2.03,-0.91,10.31,1.02,-2.19,-4.65,10.50
1.00,-0.71,-1.32,8.09,1.00,-1.57,-2.98,9.30
1.20,-1.21,-4.42,4.46,1.07,-1.41,-3.70,6.88
-0.05,-0.89,-6.88,5.11,0.61,-1.18,-5.29,6.00
0.39,-1.33,-3.68,6.34,0.51,-1.23,-4.49,6.17
1.43,-1.59,0.88,6.21,0.87,-1.36,-1.80,6.19
1.15,0.48,-0.69,5.57,0.98,-0.61,-1.25,5.88
0.48,-2.43,-4.22,9.11,0.78,-1.32,-2.73,7.50
0.40,-4.51,-3.38,6.40,0.62,-2.58,-3.06,6.95
0.63,-1.02,-3.18,4.41,0.62,-1.94,-3.12,5.68
-0.83,1.09,-3.26,6.02,0.03,-0.71,-3.19,5.85
-1.76,-2.44,-4.88,4.55,-0.70,-1.39,-4.03,5.20
-1.38,-1.92,-9.88,4.84,-0.98,-1.59,-6.96,5.02
-1.80,0.26,-7.01,6.26,-1.32,-0.84,-6.99,5.64
-0.53,0.48,0.41,4.64,-1.02,-0.30,-3.29,5.14
-0.16,0.85,3.54,2.44,-0.69,0.17,0.12,3.79
-0.03,0.85,-0.05,1.59,-0.42,0.45,0.04,2.69
1.07,-0.36,-0.02,3.74,0.17,0.13,0.01,3.22
1.66,2.33,0.44,1.79,0.77,1.02,0.22,2.50
1.44,2.65,-0.40,3.25,1.04,1.68,-0.09,2.88
1.04,0.78,-0.39,1.54,1.04,1.32,-0.24,2.21
0.87,0.67,-1.06,-0.44,0.97,1.07,-0.65,0.88
-0.02,0.33,-2.19,-0.46,0.57,0.77,-1.42,0.21
-0.13,0.37,-4.86,0.40,0.29,0.61,-3.14,0.30
-0.33,0.00,-1.24,-0.96,0.03,0.37,-2.19,-0.33
-0.31,-1.03,0.76,0.55,-0.11,-0.19,-0.72,0.11
-1.16,1.52,-2.54,0.87,-0.53,0.49,-1.63,0.49
-1.21,1.62,-5.01,2.50,-0.81,0.94,-3.32,1.50
-0.83,-0.18,1.23,0.82,-0.82,0.50,-1.04,1.16
-1.15,-0.70,1.38,-2.34,-0.96,0.02,0.17,-0.59
0.08,-0.65,-0.65,-5.01,-0.54,-0.25,-0.24,-2.80
0.29,1.09,-3.46,-5.44,-0.21,0.28,-1.85,-4.12
0.52,1.35,-1.24,-4.21,0.08,0.70,-1.54,-4.17
-0.50,-2.03,1.28,-2.90,-0.16,-0.40,-0.13,-3.53
-1.02,-1.30,-2.59,1.27,-0.50,-0.77,-1.36,-1.13
-0.38,0.09,-0.31,2.08,-0.46,-0.43,-0.83,0.47
-0.41,0.42,3.58,0.26,-0.44,-0.09,1.37,0.37
-0.71,-0.41,0.06,0.20,-0.54,-0.22,0.71,0.28
-0.10,5.45,-2.55,0.53,-0.36,2.05,-0.92,0.41
0.28,-4.65,3.11,-1.33,-0.11,-0.63,1.09,-0.46
0.24,-2.72,1.75,0.00,0.03,-1.47,1.42,-0.23
-1.18,1.33,-1.67,2.15,-0.45,-0.35,-0.12,0.96
-1.35,5.32,-3.87,4.23,-0.81,1.92,-2.00,2.60
-0.13,-4.25,-9.64,2.95,-0.54,-0.54,-5.82,2.77
-0.89,-2.07,-3.62,2.09,-0.70,-1.14,-4.72,2.43
-0.49,-1.83,-0.71,0.73,-0.63,-1.41,-2.71,1.58
0.36,0.07,2.09,3.40,-0.24,-0.82,-0.31,2.49
-0.07,-0.89,-3.20,1.92,-0.17,-0.84,-1.75,2.21
0.93,0.25,2.91,2.64,0.27,-0.40,0.58,2.42
0.38,-1.45,16.61,-0.37,0.31,-0.81,8.59,1.03
0.50,-0.15,28.99,-8.53,0.41,-0.55,18.79,-3.75
-0.29,0.96,18.67,-9.98,0.18,0.05,18.73,-6.87
6.89,3.57,-12.54,-10.03,2.91,1.44,3.09,-8.45
6.59,-4.60,-17.81,-6.09,4.39,-1.00,-7.36,-7.27
