time,z_0,z_1,z_2,z_3,x_0,x_1,x_2,x_3,y_0,y_1,y_2,y_3,epsilon
2627656,43.78,-0.93,-3.92,1.05,12.97,-0.55,12.29,-0.12,30.81,-0.38,-16.22,1.18,45.15
2649976,43.22,-1.34,-3.19,-2.02,13.16,-0.56,12.19,-0.14,30.06,-0.78,-15.38,-1.88,41.83
2672340,44.75,-0.90,-3.25,0.63,13.36,-0.56,12.08,-0.13,31.38,-0.34,-15.34,0.76,43.03
2694652,43.21,-1.14,-5.88,-0.21,13.55,-0.57,11.96,-0.13,29.67,-0.57,-17.84,-0.08,49.14
2716988,44.57,-2.01,-6.47,3.21,13.73,-0.57,11.84,-0.11,30.83,-1.44,-18.31,3.31,53.36
2739344,44.75,-0.91,-4.63,2.02,13.93,-0.57,11.73,-0.09,30.82,-0.35,-16.36,2.11,45.93
2761668,43.89,-1.53,-2.90,-2.03,14.11,-0.58,11.63,-0.11,29.77,-0.95,-14.54,-1.92,39.02
2784008,43.80,-1.56,-2.05,-0.46,14.30,-0.58,11.55,-0.11,29.50,-0.97,-13.59,-0.35,35.71
2806344,43.84,-0.74,-6.49,1.31,14.48,-0.58,11.43,-0.10,29.37,-0.15,-17.92,1.41,49.27
2828684,43.06,-1.15,-7.71,3.02,14.64,-0.58,11.30,-0.08,28.42,-0.57,-19.01,3.10,52.96
2850988,43.51,-1.22,-3.48,1.80,14.82,-0.58,11.21,-0.06,28.69,-0.64,-14.69,1.87,38.19
2873292,43.58,-0.97,-2.79,-0.08,14.99,-0.58,11.12,-0.06,28.59,-0.39,-13.92,-0.01,35.53
2895612,43.71,-1.02,-4.05,0.29,15.16,-0.58,11.03,-0.06,28.55,-0.44,-15.08,0.35,38.83
2917936,43.40,-0.97,-5.86,1.95,15.33,-0.58,10.92,-0.05,28.07,-0.39,-16.79,2.00,44.09
2940240,43.86,-1.29,-7.74,3.11,15.49,-0.58,10.81,-0.03,28.38,-0.71,-18.55,3.14,51.21
2962580,44.42,-1.32,-4.87,3.50,15.66,-0.57,10.71,-0.00,28.77,-0.74,-15.58,3.50,41.83
2984888,44.29,-0.76,-2.11,-0.58,15.83,-0.58,10.64,-0.01,28.46,-0.19,-12.74,-0.57,32.30
3007228,43.50,-1.04,-2.09,-2.70,15.99,-0.58,10.56,-0.02,27.51,-0.46,-12.65,-2.68,31.70
3029560,43.05,-1.52,-3.44,-0.20,16.15,-0.59,10.48,-0.03,26.89,-0.93,-13.91,-0.17,33.67
3051884,42.65,-1.16,-2.98,-0.79,16.31,-0.59,10.40,-0.03,26.34,-0.56,-13.38,-0.76,31.67
3074220,42.68,-1.06,-3.05,0.50,16.46,-0.60,10.32,-0.03,26.22,-0.46,-13.37,0.53,31.51
3096520,43.30,-1.05,-3.76,2.34,16.62,-0.59,10.24,-0.01,26.69,-0.45,-13.99,2.35,34.21
3118828,43.20,-0.74,-3.18,0.53,16.77,-0.59,10.16,-0.01,26.44,-0.15,-13.34,0.54,31.64
3141152,43.07,-0.52,-2.35,0.84,16.92,-0.59,10.09,-0.00,26.15,0.07,-12.44,0.84,29.08
3163416,44.04,-0.63,-2.96,1.36,17.08,-0.59,10.02,0.01,26.97,-0.04,-12.98,1.35,31.42
3185692,42.81,-1.09,-3.76,0.49,17.22,-0.59,9.94,0.01,25.59,-0.50,-13.70,0.48,31.73
3207900,43.12,-1.33,-3.59,2.35,17.37,-0.59,9.87,0.02,25.75,-0.74,-13.45,2.33,31.76
3230168,43.78,-0.76,-3.25,1.18,17.51,-0.59,9.79,0.03,26.27,-0.17,-13.05,1.15,30.80
3252416,43.19,-1.09,-2.66,-0.99,17.66,-0.59,9.73,0.02,25.53,-0.50,-12.38,-1.02,28.34
3274664,43.20,-1.04,-2.61,0.78,17.80,-0.59,9.66,0.03,25.40,-0.45,-12.27,0.75,27.89
3296884,42.86,-1.07,-2.81,-0.41,17.94,-0.59,9.59,0.03,24.92,-0.48,-12.40,-0.44,27.69
3319144,42.90,-1.73,-3.27,0.06,18.08,-0.60,9.52,0.02,24.82,-1.13,-12.79,0.04,28.57
3341364,43.64,-1.28,-3.73,3.74,18.22,-0.59,9.45,0.05,25.42,-0.68,-13.18,3.69,31.51
3363592,43.78,-0.43,-2.67,1.39,18.36,-0.59,9.39,0.06,25.42,0.16,-12.06,1.33,27.52
3385808,43.93,-0.24,-3.07,0.34,18.50,-0.59,9.32,0.06,25.44,0.35,-12.39,0.28,28.18
3408008,43.52,-0.80,-3.21,-1.21,18.63,-0.59,9.26,0.05,24.88,-0.21,-12.47,-1.26,27.95
3430244,43.31,-1.63,-3.66,-0.93,18.76,-0.60,9.19,0.04,24.54,-1.03,-12.86,-0.98,28.56
3452500,43.31,-1.62,-1.94,-1.83,18.90,-0.61,9.14,0.03,24.41,-1.01,-11.07,-1.86,24.44
3474768,43.11,-1.79,-1.24,0.38,19.03,-0.61,9.08,0.03,24.08,-1.17,-10.32,0.35,22.19
3496996,42.85,-0.57,-1.10,2.21,19.16,-0.61,9.03,0.05,23.69,0.04,-10.13,2.17,21.86
3519184,42.94,-0.24,-3.53,0.90,19.29,-0.60,8.97,0.05,23.65,0.37,-12.50,0.85,26.76
3541364,42.76,-0.85,-1.16,0.08,19.42,-0.61,8.92,0.05,23.34,-0.24,-10.08,0.02,20.97
3563552,42.90,-1.59,0.32,-1.25,19.55,-0.61,8.88,0.04,23.35,-0.97,-8.56,-1.30,18.34
3585712,43.69,-1.59,-0.15,0.53,19.68,-0.62,8.84,0.05,24.00,-0.98,-8.99,0.49,19.57
3607868,42.69,-1.02,-1.30,1.02,19.81,-0.62,8.79,0.05,22.88,-0.40,-10.09,0.97,20.66
3630068,43.35,-1.18,-1.48,2.50,19.93,-0.61,8.74,0.07,23.41,-0.56,-10.22,2.44,21.92
3652296,44.16,-0.84,-0.70,1.31,20.06,-0.61,8.70,0.07,24.10,-0.23,-9.40,1.24,20.53
3674420,44.16,-1.05,0.00,1.01,20.19,-0.61,8.66,0.08,23.96,-0.44,-8.66,0.93,19.00
3696540,44.38,-0.68,-1.82,1.48,20.32,-0.61,8.61,0.09,24.06,-0.08,-10.43,1.40,22.55
3718760,43.65,-0.72,-3.65,1.16,20.44,-0.60,8.55,0.09,23.21,-0.12,-12.20,1.07,25.67
3740988,44.43,-0.72,-5.39,2.58,20.55,-0.60,8.49,0.11,23.88,-0.12,-13.88,2.47,31.14
3763200,44.76,-1.54,-7.08,2.89,20.67,-0.60,8.41,0.12,24.09,-0.94,-15.50,2.76,36.24
3785436,45.41,-0.77,-10.15,4.69,20.77,-0.59,8.32,0.15,24.64,-0.18,-18.47,4.54,48.11
3807752,45.57,-1.07,-10.98,4.20,20.88,-0.58,8.22,0.17,24.69,-0.49,-19.20,4.03,50.47
3830032,46.06,-0.82,-18.60,8.38,20.97,-0.56,8.09,0.21,25.09,-0.26,-26.68,8.17,90.05
3852308,44.71,-1.19,-27.01,10.87,21.03,-0.54,7.91,0.27,23.68,-0.65,-34.92,10.60,143.66
3874752,43.90,-0.59,-32.81,13.53,21.08,-0.51,7.70,0.34,22.83,-0.08,-40.51,13.18,190.93
3897200,43.85,-0.37,-36.18,14.47,21.11,-0.47,7.47,0.42,22.74,0.10,-43.65,14.05,219.56
3919632,43.08,0.49,-37.92,11.27,21.14,-0.44,7.24,0.48,21.94,0.94,-45.16,10.79,224.11
3942072,40.24,0.44,-39.18,8.84,21.15,-0.42,7.00,0.52,19.09,0.85,-46.17,8.32,226.28
3964404,39.96,-0.05,-41.63,11.94,21.15,-0.39,6.75,0.58,18.80,0.34,-48.38,11.35,252.77
3986844,39.52,1.24,-45.16,11.10,21.14,-0.35,6.48,0.64,18.38,1.60,-51.64,10.46,283.00
4009284,39.70,2.16,-53.31,9.62,21.12,-0.32,6.17,0.69,18.58,2.48,-59.49,8.93,367.03
4031612,36.86,2.41,-61.10,7.25,21.06,-0.29,5.83,0.72,15.80,2.70,-66.93,6.53,455.03
4053952,34.99,1.89,-72.43,10.85,20.97,-0.25,5.43,0.78,14.02,2.15,-77.85,10.08,617.17
4076396,33.61,2.33,-82.37,13.37,20.85,-0.21,4.98,0.84,12.76,2.54,-87.34,12.53,778.02
4098848,32.63,0.95,-89.85,9.18,20.71,-0.18,4.49,0.89,11.93,1.13,-94.34,8.29,895.22
4121176,26.99,1.95,-91.15,3.45,20.53,-0.16,4.01,0.90,6.45,2.12,-95.15,2.55,902.33
4143460,22.05,3.27,-94.64,7.60,20.33,-0.13,3.50,0.94,1.71,3.40,-98.14,6.66,963.01
4165728,20.55,4.48,-98.69,12.17,20.12,-0.08,2.98,1.00,0.43,4.56,-101.67,11.17,1041.26
4188220,16.84,2.59,-97.54,0.61,19.89,-0.07,2.47,1.00,-3.05,2.65,-100.02,-0.39,995.55
4210568,17.61,2.23,-90.24,11.01,19.68,-0.03,2.01,1.05,-2.07,2.25,-92.25,9.96,856.76
4232812,11.08,4.42,-81.88,-2.73,19.46,-0.01,1.58,1.03,-8.38,4.43,-83.46,-3.76,696.20
4255044,9.55,4.02,-71.08,-11.30,19.26,-0.02,1.21,0.97,-9.71,4.04,-72.30,-12.27,537.23
4277328,7.66,1.84,-66.87,-21.53,19.06,-0.06,0.87,0.86,-11.40,1.90,-67.74,-22.39,509.09
4299624,5.68,1.17,-49.59,-12.85,18.89,-0.08,0.62,0.79,-13.21,1.25,-50.20,-13.65,272.79
4321964,6.56,1.48,-40.53,-7.44,18.75,-0.09,0.41,0.75,-12.18,1.57,-40.94,-8.19,176.45
4344208,4.41,2.70,-38.95,-20.64,18.60,-0.12,0.21,0.65,-14.19,2.83,-39.16,-21.29,201.81
4366544,3.74,0.88,-36.75,-16.35,18.45,-0.16,0.02,0.57,-14.71,1.04,-36.77,-16.92,167.33
4388860,3.86,-1.26,-25.27,-19.47,18.33,-0.20,-0.11,0.47,-14.47,-1.05,-25.16,-19.94,106.72
4411200,6.05,-2.29,-25.92,0.82,18.22,-0.21,-0.24,0.47,-12.17,-2.08,-25.69,0.35,68.69
4433376,4.82,-0.54,-30.02,-1.68,18.10,-0.21,-0.38,0.46,-13.28,-0.33,-29.63,-2.14,91.32
4455584,1.57,-0.48,-20.76,-4.79,17.98,-0.22,-0.49,0.44,-16.41,-0.25,-20.27,-5.23,48.97
4477768,3.40,-1.69,-13.07,5.18,17.89,-0.22,-0.55,0.46,-14.49,-1.47,-12.51,4.72,22.01
4499932,4.47,-0.84,-15.62,0.69,17.80,-0.22,-0.63,0.46,-13.33,-0.62,-14.99,0.23,25.89
4522080,2.76,-0.52,-13.11,-1.95,17.70,-0.22,-0.70,0.45,-14.95,-0.29,-12.42,-2.40,20.35
4544256,2.25,-0.41,-11.34,1.57,17.61,-0.22,-0.75,0.45,-15.37,-0.19,-10.59,1.12,15.97
4566412,2.64,0.28,-16.23,0.76,17.51,-0.22,-0.83,0.45,-14.87,0.49,-15.40,0.31,27.99
4588512,1.71,-1.01,-14.60,1.86,17.42,-0.21,-0.90,0.46,-15.70,-0.80,-13.69,1.40,23.76
4610648,3.15,-1.06,-9.77,3.77,17.33,-0.21,-0.95,0.48,-14.18,-0.85,-8.82,3.30,12.83
4632728,1.17,0.19,-5.60,-0.26,17.25,-0.21,-0.98,0.47,-16.08,0.40,-4.62,-0.73,7.33
4654700,1.18,0.29,-3.71,-2.44,17.18,-0.21,-1.00,0.46,-15.99,0.50,-2.71,-2.90,6.67
4676712,0.70,0.38,-2.14,-1.57,17.10,-0.21,-1.01,0.45,-16.41,0.59,-1.12,-2.02,5.90
4698684,1.27,0.54,-5.77,0.69,17.03,-0.20,-1.04,0.45,-15.76,0.74,-4.73,0.24,7.18
4720636,1.14,0.03,-4.96,0.92,16.95,-0.20,-1.07,0.45,-15.80,0.23,-3.90,0.46,6.50
4742576,1.80,0.27,-2.63,-1.21,16.88,-0.20,-1.08,0.45,-15.08,0.47,-1.55,-1.65,5.04
4764568,1.41,0.21,-1.11,-1.05,16.81,-0.20,-1.09,0.44,-15.41,0.41,-0.03,-1.49,4.96
4786576,2.10,-0.47,-0.14,-0.52,16.75,-0.20,-1.09,0.44,-14.65,-0.27,0.95,-0.95,4.46
4808568,1.92,-0.38,-2.11,-1.53,16.69,-0.20,-1.10,0.43,-14.77,-0.17,-1.01,-1.95,4.83
4830588,3.12,-1.23,-3.79,-0.49,16.62,-0.21,-1.12,0.42,-13.50,-1.02,-2.67,-0.91,4.44
4852604,3.42,-1.02,-4.56,-0.12,16.56,-0.21,-1.14,0.42,-13.14,-0.81,-3.43,-0.54,4.65
4874644,1.50,-0.68,-4.00,-3.45,16.49,-0.22,-1.16,0.40,-14.99,-0.46,-2.84,-3.85,6.76
4896648,1.03,-0.62,-3.10,-2.90,16.42,-0.23,-1.17,0.39,-15.39,-0.39,-1.92,-3.29,6.17
4918684,1.28,-0.67,-4.17,1.37,16.35,-0.23,-1.19,0.39,-15.07,-0.44,-2.97,0.98,5.50
